diff_pressure_horizontal,diff_pressure_vertical,diff_pressure_central,time,accel_x,accel_y,accel_z
34.06666565,-21.63333321,286.1833191,4059.086580676958,1.360371113,-3.990102768,19.46612167
38.65000153,-18.63333321,289.4833374,4059.09658069317,-1.743574262,-3.702700377,19.46612167
38.66666794,-21.06666756,291.6833191,4059.1065807093823,-1.575922966,-1.154399514,19.46612167
37.11666489,-20.03333282,293.6833191,4059.1165807255948,-2.634521484,-0.0239501968,19.46612167
38.43333435,-20.71666718,292.0333252,4059.1265807418067,-2.323168993,-2.955454111,19.46612167
45.53333282,-24.39999962,286.7666626,4059.136580758019,0.07664062828,-5.858218193,19.46612167
52.70000076,-31.18333244,281.7999878,4059.146580774231,-1.422641635,-3.721860409,19.46612167
55.01666641,-40.98333359,280.4333191,4059.1565807904435,-0.2921923995,-2.356699228,19.46612167
54.51666641,-46.38333511,279.2166748,4059.166580806656,-1.437011838,-1.585502982,19.46612167
53.38333511,-44.31666565,274.7666626,4059.176580822868,-2.318378925,-1.226250052,19.46612167
51.16666794,-42.41666794,274.6333313,4059.1865808390803,-0.4215234518,-3.597319603,19.46612167
48.15000153,-43.21666718,277.4666748,4059.1965808552923,-0.5891748071,-5.800737381,19.46612167
41.38333511,-40.76666641,276.3833313,4059.2065808715047,0.857417047,-4.47868681,19.46612167
34.03333282,-39.08333206,274.7666626,4059.216580887717,0.3353027403,-0.9436377287,19.46612167
25.76666641,-32.15000153,276.6499939,4059.226580903929,-1.68130374,0.1341211051,19.46612167
25.66666603,-20.48333359,275.6499939,4059.2365809201415,-2.672842026,-0.8669971228,19.46612167
27.71666718,-14.3166666,268.9833374,4059.2465809363534,0.4550537169,-4.042793274,19.46612167
26.53333282,-9.416666985,267.2000122,4059.256580952566,-1.786684632,-3.846401453,19.46612167
23.21666718,-9.550000191,268.6000061,4059.2665809687783,-0.5412744284,-3.276386976,19.46612167
21.54999924,-12.46666622,267.7000122,4059.2765809849902,-1.748364329,-1.595083117,19.46612167
22.31666756,-13.33333302,264.8666687,4059.2865810012026,-1.99265635,-0.1628613323,19.46612167
22.58333397,-13.46666622,261.1333313,4059.2965810174146,-2.414179802,-2.289638758,19.46612167
23.89999962,-13.85000038,260.7000122,4059.306581033627,-1.518442392,-4.54574728,19.46612167
24.28333282,-12.39999962,263.2999878,4059.3165810498394,-2.907553911,-4.526587009,19.46612167
20.70000076,-9.149999619,266.3833313,4059.3265810660514,-2.62015152,-1.025068402,19.46612167
18.23333359,-7.283333302,268.2000122,4059.336581082264,-3.003354549,0.01916015707,19.46612167
20.5,-7.349999905,269.4833374,4059.3465810984762,-2.634521484,-0.004790039267,19.46612167
19.86666679,-8.199999809,266.8333435,4059.356581114688,-1.025068402,-2.174677849,19.46612167
17.83333397,-5.333333492,269.7333374,4059.3665811309006,-0.1532812566,-4.277504921,19.46612167
16.96666718,-0.05000000075,269.8333435,4059.3765811471126,1.240620136,-3.951782465,19.46612167
17.73333359,1.116666675,265.3333435,4059.386581163325,-0.9436377287,-1.293310642,19.46612167
20.01666641,-0.8166666627,264.6000061,4059.3965811795374,-1.705253959,-0.6993457079,19.46612167
17.88333321,-2.616666555,261.8833313,4059.4065811957494,-2.069297075,-1.92559576,19.46612167
13.19999981,-3.950000048,256.3833313,4059.416581211962,-1.609453201,-3.410507917,19.46612167
8.5,-2.450000048,253.5500031,4059.4265812281737,-1.772314548,-3.051254988,19.46612167
5.25,0.5,255.1999969,4059.436581244386,-1.106499076,-1.547182679,19.46612167
2.716666698,2.066666603,251.7333374,4059.4465812605986,-2.509980679,0.5269043446,19.46612167
3.733333349,7.050000191,258.7999878,4059.4565812768105,-4.608017921,-0.1820214987,9.54654789
5.983333111,10.28333378,262.2333374,4059.466581293023,-1.144819379,-1.810634851,14.50423908
5.966666698,10.01666641,269.1333313,4059.476581309235,-1.02985847,-2.878813505,19.46612167
4.633333206,9.383333206,268.8333435,4059.4865813254473,-1.863325238,-2.672842026,14.77248096
1.483333349,12.5,266.0499878,4059.4965813416597,-1.968706131,0.6035449505,18.50871086
-0.9666666389,17.71666718,266.2000122,4059.5065813578717,-1.566342831,2.304008961,12.56906319
2.233333349,19.96666718,268.1000061,4059.516581374084,-2.629731655,0.7520361543,8.28676796
9.183333397,22.56666756,262.2833252,4059.526581390296,-1.451381922,-2.160307646,17.18666077
14.0666666,21.43333244,257.2000122,4059.5365814065085,-0.1820214987,-2.380649567,15.02156353
10.60000038,19.5,258.0166626,4059.546581422721,-1.02985847,-1.082548857,10.46144581
-0.1666666716,32.83333206,257.3833313,4059.556581438933,-2.754272461,0.546064496,12.61217308
-10.6833334,48.68333435,252.0,4059.5665814551453,-4.612807751,1.183139682,8.430469513
-18.25,52.38333511,248.0833282,4059.5765814713573,0.105380863,-1.460961938,8.957373619
-16.39999962,53.86666489,245.3333282,4059.5865814875697,-2.280058622,-3.472778559,17.64650536
-15.69999981,54.03333282,245.4666595,4059.596581503782,-1.025068402,-2.917133808,11.76912689
-18.48333359,49.41666794,242.6333313,4059.606581519994,-1.331630945,0.4167334139,10.13572311
-21.61666679,43.96666718,243.7333374,4059.6165815362065,-2.936294079,-0.01437011734,12.44931221
-23.68333244,39.36666489,245.5333405,4059.626581552419,-3.812871218,-0.3353027403,7.462881088
-25.48333359,36.15000153,245.7666626,4059.636581568631,-1.781894565,-2.749482632,13.12949753
-25.73333359,37.51666641,245.3833313,4059.6465815848433,-1.173559666,-2.926713943,11.4434042
-23.89999962,41.66666794,250.6999969,4059.656581601055,0.1628613323,-1.183139682,11.08894062
-20.61666679,37.48333359,251.0,4059.6665816172676,-0.5748047233,0.450263679,11.78349686
-12.33333302,29.25,242.3999939,4059.67658163348,-2.41896987,2.639311552,10.24110413
-7.0,21.43333244,239.8999939,4059.686581649692,-4.320615292,0.5556445718,3.946992397
-3.966666698,15.0,239.4833374,4059.6965816659044,-1.422641635,-2.826123238,7.036567688
-3.433333397,11.83333302,239.2666626,4059.7065816821164,-1.173559666,-2.074086905,14.68626022
-1.649999976,9.100000381,242.1666718,4059.716581698329,-1.077758789,-0.2969824374,16.18554306
-0.8666666746,6.266666889,245.8000031,4059.726581714541,-2.998564482,-0.09580078721,19.112257
1.783333302,2.5,249.6166687,4059.736581730753,-4.071533203,1.235830188,18.02012825
4.099999905,0.1166666672,250.3666687,4059.7465817469656,-1.796264768,-0.5652246475,17.74709511
3.733333349,-1.216666698,252.1833344,4059.7565817631776,-1.077758789,-2.965034246,19.46612167
3.483333349,1.0,255.0500031,4059.76658177939,-2.308799028,-4.291875362,19.46612167
3.033333302,3.933333397,257.0166626,4059.7765817956024,-2.26089859,-0.1101709008,19.46612167
2.150000095,4.916666508,259.6499939,4059.7865818118144,-3.999682903,0.2921923995,19.46612167
2.683333397,5.883333206,263.7666626,4059.796581828027,-2.553090811,-0.6658154726,19.46612167
3.349999905,6.150000095,265.7833252,4059.8065818442387,-1.43222177,-1.159189463,19.46612167
3.716666698,5.916666508,266.8999939,4059.816581860451,-0.3017724752,-3.836821556,19.46612167
5.233333111,5.716666698,268.25,4059.8265818766636,-0.9436377287,-2.577041149,19.46612167
6.150000095,8.166666985,269.4666748,4059.8365818928755,-2.797382832,0.3736230731,19.46612167
5.566666603,9.333333015,269.8333435,4059.846581909088,-3.726650476,0.7807763815,19.46612167
5.916666508,9.483333588,269.6833191,4059.8565819253004,-2.557880878,-0.450263679,19.46612167
8.149999619,13.1833334,268.8833313,4059.8665819415123,-2.102827311,-2.835703135,19.46612167
11.01666641,14.88333321,267.8166809,4059.8765819577247,-2.030976534,-3.175796032,19.46612167
12.03333378,15.86666679,268.0,4059.8865819739367,-1.710044026,-0.9963281751,19.46612167
9.466666222,15.08333302,266.9666748,4059.896581990149,-2.62015152,0.2586621344,19.46612167
6.933333397,13.19999981,265.7666626,4059.9065820063615,-4.775669098,0.3017724752,17.90037727
5.400000095,12.86666679,266.6333313,4059.9165820225735,-3.142265797,-0.622705102,18.59493256
3.733333349,11.4333334,265.0499878,4059.926582038786,-1.930385828,-4.770879269,19.46612167
2.400000095,10.19999981,263.3833313,4059.936582054998,-3.285966873,-3.889511824,18.24526024
1.566666722,9.833333015,262.7833252,4059.9465820712103,-2.351909399,0.3832031488,19.46612167
0.8999999762,9.933333397,263.1166687,4059.9565820874227,-1.805844784,0.1868115366,17.75667572
0.03333333507,10.41666698,262.2166748,4059.9665821036347,-2.768642664,0.4215234518,17.43095207
-0.05000000075,10.30000019,262.3500061,4059.976582119847,-2.773432732,-2.347119331,19.46612167
0.6999999881,10.13333321,263.3333435,4059.986582136059,-2.030976534,-2.902763844,19.46612167
0.3000000119,10.5666666,261.9166565,4059.9965821522715,0.2778222859,-3.458408356,19.46612167
-0.8500000238,11.80000019,261.5166626,4060.006582168484,-1.68130374,-1.32205081,19.46612167
-2.133333445,12.30000019,261.2999878,4060.016582184696,-2.82133317,0.9436377287,12.13316917
-3.0,10.85000038,262.7999878,4060.0265822009083,-3.798501253,0.239501968,18.93502617
-2.599999905,9.050000191,266.5333252,4060.03658221712,-2.212998152,-2.438129902,18.86317444
-3.700000048,8.416666985,267.4500122,4060.0465822333326,-1.983076215,-3.899091959,19.46612167
-6.033333302,6.833333492,265.6166687,4060.056582249545,-2.289638758,-0.4790039361,19.46612167
-8.733333588,6.366666794,269.4666748,4060.066582265757,-3.908672094,0.4933740497,19.46612167
-10.53333378,10.03333378,267.6499939,4060.0765822819694,-3.597319603,1.235830188,13.02411652
-10.36666679,10.08333302,267.6833191,4060.0865822981814,-1.379531264,-1.125659227,12.35830116
-5.449999809,3.450000048,274.9333191,4060.096582314394,-0.8430469036,-2.850073338,19.46612167
-1.899999976,-1.733333349,279.2333374,4060.106582330606,-2.476450205,-2.509980679,11.064991
-5.283333302,-1.600000024,274.0833435,4060.116582346818,-0.3688330352,-1.111289144,16.79866791
-13.55000019,7.300000191,269.7333374,4060.1265823630306,-1.729204178,1.355581164,16.54958534
-17.25,18.10000038,267.7833252,4060.136582379243,-3.027304888,0.5891748071,16.47773552
-19.13333321,22.61666679,268.2000122,4060.146582395455,-1.916015744,-1.623823285,19.46612167
-19.86666679,21.16666603,269.75,4060.1565824116674,-2.715952158,-2.476450205,19.46612167
-20.76666641,15.13333321,271.75,4060.1665824278793,-1.010698318,-1.298100591,14.65752029
-22.28333282,10.26666641,270.9666748,4060.1765824440918,-2.557880878,0.8813672066,13.53665066
-23.96666718,9.483333588,271.0166626,4060.186582460304,-2.744692564,0.8047266006,12.66486359
-26.58333397,12.21666622,270.1666565,4060.196582476516,-1.978286266,-1.111289144,10.02076244
-29.68333244,12.58333302,268.0666809,4060.2065824927286,-1.676513791,-3.822451353,19.46612167
-30.23333359,14.11666679,268.0499878,4060.2165825089405,-3.899091959,-2.390229702,14.13061619
-28.96666718,16.35000038,267.7333374,4060.226582525153,-0.8669971228,-0.1963916123,13.98212433
-22.75,10.80000019,268.6333313,4060.2365825413654,-2.974614382,1.820214868,17.66566467
-16.68333244,5.383333206,273.75,4060.2465825575773,-5.431904316,0.9723779559,8.823252678
-17.14999962,3.783333302,278.75,4060.2565825737897,-3.252436638,-0.2682422101,14.25515652
-19.71666718,2.299999952,282.1166687,4060.2665825900017,-2.351909399,-3.994892836,17.82852554
-21.63333321,-0.1833333373,278.1166687,4060.276582606214,-1.571132898,-3.290756941,13.66598225
-23.08333397,-1.916666627,274.9500122,4060.2865826224265,-2.117197275,0.1245410219,18.22130966
-25.21666718,-2.566666603,272.7999878,4060.2965826386385,-2.208208084,1.192719817,15.03593349
-25.95000076,-1.700000048,272.4166565,4060.306582654851,-1.609453201,0.5987548828,13.81447315
-23.38333321,-0.4333333373,270.7166748,4060.316582671063,-2.361489296,-3.444038153,19.46612167
